method,k_error,nlpd,kl,mll,noise_var,seed,error_msg
RBF,1.0000011920928955,0.8672874569892883,338041.34375,-1.1153687238693237,0.5448973178863525,42,
Neural-GSM,0.334197074174881,-2.9849820137023926,54.596771240234375,8.838769912719727,0.00016329617938026786,42,
DKL,21.37383270263672,-2.0841071605682373,361.64971923828125,2.2673449516296387,0.0002582974557299167,42,
F-SDN (real),0.9846145510673523,0.7955811023712158,171494.796875,-73.1308822631836,0.20697781443595886,42,
F-SDN (complex),0.8069770932197571,0.39582565426826477,150241.140625,-35.114681243896484,0.21909251809120178,42,
RBF,1.0000004768371582,0.33257025480270386,114678.8828125,-0.5763230919837952,0.18539723753929138,43,
Neural-GSM,,,,,,43,"NanError: cholesky_cpu: 2500 of 2500 elements of the torch.Size([50, 50]) tensor are NaN."
DKL,20.220800399780273,7.861278533935547,2443.764404296875,2.7317495346069336,0.0001572317269165069,43,
F-SDN (real),0.9996305108070374,0.19949470460414886,67349.015625,-34.8288459777832,0.09262356907129288,43,
F-SDN (complex),6.087647438049316,-0.09311622381210327,64345.203125,-8.961479187011719,0.11433263123035431,43,
RBF,1.0000003576278687,-0.08897903561592102,49370.46875,-0.1569778472185135,0.08014234155416489,44,
Neural-GSM,0.9800700545310974,-2.3596489429473877,13663.177734375,1.3877348899841309,0.00024200594634748995,44,
DKL,21.86184310913086,-0.894774854183197,424.3963317871094,2.8203797340393066,0.00012884924944955856,44,
F-SDN (real),0.8474813103675842,-2.38581919670105,427.53021240234375,109.50370788574219,0.0007808641530573368,44,
F-SDN (complex),0.8405169248580933,-2.3859024047851562,413.1992492675781,111.48056030273438,0.0008247722289524972,44,
RBF,1.0000011920928955,0.8629991412162781,334540.75,-1.1108776330947876,0.5400252938270569,45,
Neural-GSM,0.38937920331954956,-2.8075201511383057,681.5396728515625,8.686238288879395,0.00015848356997594237,45,
DKL,20.322038650512695,-2.336458683013916,7338.9208984375,2.290980339050293,0.0002123709418810904,45,
F-SDN (real),0.6381387114524841,-2.311572313308716,322.6828308105469,91.11795043945312,0.000517482403665781,45,
F-SDN (complex),0.6475508213043213,,,,,45,_LinAlgError: linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 50 is not positive-definite).
RBF,1.0000004768371582,0.46066969633102417,149326.703125,-0.7082666158676147,0.2413829267024994,46,
Neural-GSM,0.7180690169334412,-2.9691009521484375,42.5465087890625,8.626688003540039,0.00017101317644119263,46,
DKL,12.832189559936523,10.5829496383667,13320.888671875,2.480456829071045,0.00018387380987405777,46,
F-SDN (real),0.8985851407051086,-0.16604895889759064,46736.0546875,-9.337265014648438,0.06488414108753204,46,
F-SDN (complex),0.5806828141212463,-1.927610158920288,1092.940673828125,68.74203491210938,0.0014753614086657763,46,
