method,k_error,nlpd,kl,mll,noise_var,seed,error_msg
RBF,0.9333053827285767,-2.7784628868103027,16518.173828125,2.25590443611145,0.0001532944297650829,42,
Neural-GSM,38.81769943237305,-2.958941698074341,1676886.625,9.181779861450195,0.0001505084801465273,42,
DKL,21.723268508911133,-1.4873214960098267,474.6658935546875,3.0976336002349854,0.00010614994243951514,42,
F-SDN (real),0.6381407380104065,,,,,42,_LinAlgError: linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 45 is not positive-definite).
F-SDN (complex),0.6151560544967651,,,,,42,_LinAlgError: linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 46 is not positive-definite).
RBF,0.9469045400619507,-2.6859216690063477,22041.744140625,2.0377414226531982,0.00025343848392367363,43,
Neural-GSM,0.2383425235748291,-2.7510411739349365,372.892333984375,7.592839241027832,0.00018767337314784527,43,
DKL,35.56184387207031,-0.10224342346191406,651.034423828125,2.9844613075256348,0.00011563759471755475,43,
F-SDN (real),0.41558295488357544,-2.8459701538085938,81.17498779296875,133.0990447998047,0.000214589832467027,43,
F-SDN (complex),0.4039391875267029,,,,,43,_LinAlgError: linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 60 is not positive-definite).
RBF,1.1811714172363281,-2.707540273666382,43185.6328125,1.9923592805862427,0.00022989811259321868,44,
Neural-GSM,0.03791895508766174,-2.990408420562744,82.78506469726562,9.322449684143066,0.00015542366600129753,44,
DKL,59.909358978271484,-2.877021074295044,75.00909423828125,2.963571786880493,0.00011028000881196931,44,
F-SDN (real),0.5841813087463379,-2.691218376159668,152.93603515625,133.76893615722656,0.00021472391381394118,44,
F-SDN (complex),0.09191570430994034,,,,,44,_LinAlgError: linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 43 is not positive-definite).
RBF,1.3648546934127808,-2.683633327484131,57969.41015625,2.047008991241455,0.00017641714657656848,45,
Neural-GSM,,,,,,45,NotPSDError: Matrix not positive definite after repeatedly adding jitter up to 1.0e-04.
DKL,48.928653717041016,-2.4028546810150146,121.40679931640625,2.7948434352874756,0.00011806977272499353,45,
F-SDN (real),0.31836190819740295,-1.852366328239441,300.9082946777344,141.5637664794922,0.00014520192053169012,45,
F-SDN (complex),0.4968380331993103,-2.6109986305236816,174.6494140625,134.3083953857422,0.00018452038057148457,45,
RBF,0.9646621942520142,-2.8591253757476807,5126.85107421875,2.4036359786987305,0.0001435413141734898,46,
Neural-GSM,1.151788592338562,-2.307544469833374,1759.936767578125,5.431235313415527,0.0001407887612003833,46,
DKL,5.503535270690918,-0.17116065323352814,412.21514892578125,3.3087427616119385,0.00010451031266711652,46,
F-SDN (real),0.8914259076118469,-2.4409725666046143,87.17921447753906,147.51934814453125,0.00011752027785405517,46,
F-SDN (complex),0.8278867602348328,,,,,46,_LinAlgError: linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 46 is not positive-definite).
